Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.33,-0.30,0.85,-12.85,-9.85,85.02
0.32,-0.29,0.84,-9.73,-14.72,79.71
0.30,-0.30,0.86,-10.11,-17.22,74.20
0.30,-0.28,0.84,-12.12,-18.79,70.20
0.32,-0.32,0.90,-11.42,-18.72,65.71
0.33,-0.33,0.92,-6.21,-17.56,61.36
0.34,-0.33,0.93,-2.35,-17.40,59.24
0.34,-0.33,0.92,-4.18,-8.35,55.74
0.34,-0.33,0.90,-5.53,-2.40,53.15
0.31,-0.33,0.91,-5.05,0.84,51.11
0.31,-0.34,0.94,-5.50,0.60,47.31
0.32,-0.34,0.99,-13.15,21.63,38.32
0.21,-0.36,0.95,1.54,-7.53,40.31
0.21,-0.35,0.95,8.60,-34.02,36.95
0.26,-0.32,0.92,-2.85,-22.75,30.84
0.23,-0.36,0.95,-9.15,3.92,27.77
0.23,-0.36,0.96,-9.97,18.31,25.83
0.18,-0.35,0.94,-5.95,11.89,24.20
0.18,-0.33,0.93,-3.74,9.82,22.99
0.16,-0.34,0.94,-1.28,-0.17,22.98
0.16,-0.33,0.95,1.42,-6.99,21.31
0.16,-0.33,0.94,1.66,-5.63,18.61
0.16,-0.31,0.91,-0.70,-4.26,16.40
0.15,-0.30,0.90,-0.31,-7.04,15.85
0.14,-0.30,0.92,2.02,-8.92,14.34
0.15,-0.30,0.91,2.60,-10.06,12.56
0.13,-0.30,0.89,4.24,-11.44,11.24
0.10,-0.27,0.88,1.59,-11.45,11.48
0.13,-0.28,0.89,-0.40,-12.66,10.23
0.14,-0.27,0.90,-2.17,-13.39,7.65
0.15,-0.27,0.89,-2.66,-16.38,5.71
0.15,-0.26,0.89,-2.43,-18.03,3.98
0.16,-0.26,0.89,-1.65,-19.02,2.18
0.16,-0.27,0.90,-0.32,-20.11,0.61
0.14,-0.28,0.91,2.03,-21.42,0.84
0.14,-0.27,0.90,2.63,-19.92,1.95
0.14,-0.26,0.90,0.73,-18.55,1.18
0.13,-0.25,0.90,0.61,-17.37,1.57
0.13,-0.25,0.90,-1.05,-16.06,1.42
0.13,-0.26,0.91,0.64,-15.18,1.44
0.12,-0.25,0.93,2.11,-15.21,0.70
0.13,-0.25,0.91,3.88,-13.37,1.98
0.12,-0.26,0.90,3.16,-8.29,3.85
0.11,-0.26,0.91,4.38,-5.73,5.16
0.10,-0.27,0.92,6.99,-5.66,5.11
0.09,-0.26,0.93,9.40,-6.47,4.66
0.08,-0.26,0.94,12.43,-6.50,6.21
0.07,-0.24,0.92,13.76,-6.47,7.57
0.06,-0.23,0.92,12.20,-6.99,8.26
0.08,-0.20,0.91,8.64,-4.90,8.78
0.06,-0.24,0.92,13.15,-7.39,10.50
0.06,-0.24,0.91,14.69,-7.77,12.21
0.05,-0.23,0.89,14.72,-8.09,14.03
0.04,-0.21,0.88,11.82,-7.69,16.38
0.02,-0.22,0.89,10.40,-10.02,17.82
0.01,-0.22,0.91,13.50,-14.20,18.43
0.01,-0.21,0.91,17.02,-18.03,19.80
-0.01,-0.20,0.88,15.59,-21.28,22.21
-0.02,-0.20,0.87,12.70,-21.91,25.74
-0.04,-0.21,0.87,10.29,-24.52,29.10
-0.06,-0.20,0.86,6.87,-26.81,33.68
-0.06,-0.19,0.86,3.51,-28.63,39.79
-0.06,-0.19,0.87,1.65,-31.24,44.35
-0.07,-0.19,0.88,0.32,-34.60,47.62
-0.08,-0.20,0.88,0.41,-37.18,49.98
-0.09,-0.20,0.89,1.60,-38.92,53.25
-0.11,-0.21,0.89,0.09,-45.82,56.72
-0.09,-0.21,0.88,-0.96,-49.59,59.98
-0.10,-0.22,0.88,-2.15,-54.49,63.36
-0.07,-0.22,0.91,-3.83,-60.17,66.72
-0.04,-0.23,0.89,-3.73,-60.02,70.72
-0.04,-0.25,0.90,-3.66,-59.05,74.99
-0.04,-0.25,0.91,-2.61,-58.43,80.82
-0.04,-0.27,0.92,-3.82,-59.80,85.47
-0.03,-0.29,0.92,-4.00,-65.57,90.67
0.01,-0.31,0.96,0.87,-70.93,95.91
0.03,-0.32,0.92,4.93,-73.25,98.78
0.09,-0.30,0.87,3.05,-71.39,104.79
0.15,-0.30,0.84,-6.89,-66.40,112.09
0.20,-0.32,0.84,-11.25,-62.60,114.17
0.23,-0.33,0.85,-10.56,-57.30,112.92
0.23,-0.34,0.84,-9.82,-57.83,113.18
0.25,-0.38,0.86,-6.92,-55.30,113.19
0.22,-0.39,0.86,-5.85,-56.44,115.47
0.23,-0.40,0.83,-5.89,-58.56,118.44
0.22,-0.44,0.88,-2.29,-62.89,118.14
0.22,-0.45,0.88,5.98,-70.72,117.48
0.26,-0.40,0.78,6.15,-76.17,118.60
0.30,-0.33,0.72,-5.28,-77.56,115.56
0.34,-0.39,0.74,-5.73,-85.36,111.47
0.41,-0.40,0.73,-3.60,-81.69,109.69
0.42,-0.42,0.74,-0.85,-76.24,107.71
0.40,-0.45,0.77,0.53,-71.53,105.56
0.39,-0.43,0.78,2.95,-68.03,102.89
0.34,-0.45,0.77,6.26,-66.76,102.15
0.34,-0.43,0.76,6.96,-68.69,101.01
0.32,-0.46,0.76,7.60,-70.55,98.61
0.30,-0.42,0.71,8.95,-75.45,101.47
0.29,-0.42,0.70,6.79,-82.14,99.59
0.25,-0.41,0.70,0.82,-90.55,99.40
0.20,-0.43,0.71,-0.87,-104.44,96.99
0.16,-0.45,0.76,-3.69,-122.12,98.15
0.12,-0.47,0.83,-3.94,-132.44,99.91
0.07,-0.44,0.79,-6.20,-146.44,102.92
0.04,-0.45,0.79,-7.48,-155.88,105.39
0.04,-0.47,0.81,-5.05,-168.12,108.32
0.08,-0.49,0.80,-7.21,-169.47,118.18
0.16,-0.56,0.82,-3.10,-177.05,127.36
0.30,-0.60,0.81,8.20,-173.97,130.81
0.44,-0.65,0.77,20.70,-160.40,137.91
0.59,-0.74,0.78,35.83,-137.27,150.26
0.72,-0.78,0.74,50.11,-106.87,157.65
0.87,-0.78,0.63,62.05,-84.85,158.24
0.98,-0.75,0.54,68.55,-66.52,150.67
1.08,-0.69,0.40,68.46,-59.48,140.29
1.12,-0.69,0.31,67.39,-66.00,130.75
1.20,-0.65,0.23,59.37,-62.00,117.08
1.24,-0.59,0.17,52.43,-51.88,101.51
1.33,-0.56,0.23,43.65,-28.35,81.95
1.11,-0.55,0.17,35.45,-64.96,65.54
1.00,-0.44,0.27,17.56,-69.62,49.48
0.96,-0.46,0.29,8.87,-62.34,54.52
0.86,-0.56,0.52,-10.43,-43.85,55.33
0.79,-0.57,0.56,-2.89,-0.34,46.46
0.55,-0.50,0.79,-0.08,-22.08,38.85
0.67,-0.47,0.69,-14.34,-13.01,34.93
0.65,-0.47,0.73,-11.10,-7.95,28.60
0.59,-0.50,0.81,0.15,-2.43,22.69
0.62,-0.53,0.85,-3.30,4.81,18.12
0.64,-0.51,0.75,0.06,13.71,17.44
0.66,-0.54,0.67,-1.73,4.84,8.73
0.71,-0.51,0.64,-0.82,5.04,6.78
0.68,-0.54,0.66,9.74,-3.57,7.10
0.60,-0.55,0.64,15.22,-7.07,7.36
0.57,-0.52,0.71,11.18,-10.17,6.49
0.52,-0.46,0.69,19.37,-15.80,7.63
0.53,-0.46,0.70,16.98,-12.02,5.80
0.53,-0.44,0.71,16.76,-12.61,4.24
0.51,-0.46,0.72,24.24,-7.36,4.84
0.53,-0.43,0.67,22.81,-4.15,3.04
0.55,-0.42,0.65,20.34,0.64,4.08
0.54,-0.43,0.62,16.31,1.30,2.03
0.55,-0.43,0.62,9.62,1.74,2.87
0.53,-0.43,0.64,5.31,2.29,1.88
0.53,-0.46,0.67,5.68,-1.44,3.11
0.55,-0.45,0.69,7.48,1.36,3.69
0.54,-0.46,0.73,3.25,-3.85,1.92
0.56,-0.47,0.72,6.08,-0.09,4.11
0.54,-0.46,0.68,2.63,-8.95,4.82
0.54,-0.46,0.74,1.04,-8.09,4.23
0.57,-0.44,0.72,-1.86,-6.17,3.37
0.54,-0.43,0.75,1.02,-10.38,2.89
0.52,-0.46,0.74,1.76,-17.57,0.47
0.50,-0.47,0.76,0.60,-20.17,-1.83
0.51,-0.45,0.73,1.07,-14.41,-2.26
0.50,-0.45,0.71,2.06,-16.43,-3.05
0.52,-0.42,0.69,1.92,-15.98,-3.02
0.55,-0.44,0.69,3.27,-12.78,-1.62
0.55,-0.44,0.67,0.44,-12.11,-1.36
0.55,-0.44,0.68,1.21,-7.27,-2.09
0.57,-0.47,0.66,2.14,6.05,-1.89
0.53,-0.48,0.67,5.42,6.73,-2.09
0.56,-0.51,0.68,10.20,8.38,-3.39
0.52,-0.46,0.63,8.35,15.62,-0.87
0.53,-0.45,0.65,4.66,18.90,-1.88
0.52,-0.43,0.62,-0.47,17.36,0.06
0.56,-0.45,0.65,-3.77,23.65,0.20
0.53,-0.46,0.70,-1.34,19.54,-0.53
0.49,-0.42,0.70,-3.10,17.80,0.05
0.51,-0.43,0.70,-8.06,14.06,-0.40
0.51,-0.43,0.72,-6.96,11.89,-0.12
0.54,-0.44,0.72,-9.30,12.58,-0.31
0.54,-0.46,0.73,-9.08,6.12,-0.50
0.55,-0.44,0.73,-8.66,7.18,-0.49
0.52,-0.44,0.72,-8.99,4.72,-1.19
0.52,-0.44,0.72,-7.68,3.36,-0.76
0.50,-0.43,0.69,-10.11,2.34,0.05
0.52,-0.43,0.70,-12.55,0.81,-1.39
0.54,-0.43,0.70,-7.16,1.56,-0.93
0.50,-0.47,0.73,-5.97,-6.66,-1.45
0.51,-0.45,0.72,-6.53,-5.86,-0.81
0.53,-0.45,0.70,-6.29,-4.70,-0.96
0.52,-0.44,0.71,-6.08,-6.37,-0.99
0.53,-0.44,0.71,-5.95,-6.67,-1.56
0.53,-0.45,0.71,-4.50,-5.80,-1.83
0.52,-0.45,0.70,-4.35,-2.17,-1.04
0.52,-0.44,0.68,-4.32,0.38,-0.72
0.52,-0.45,0.69,-4.35,0.56,-0.72
0.52,-0.46,0.68,-3.97,1.76,-0.09
0.52,-0.45,0.68,-4.84,3.19,1.11
0.53,-0.45,0.69,-5.30,2.70,0.12
0.54,-0.46,0.70,-5.54,1.85,0.75
0.53,-0.46,0.70,-5.88,1.98,0.70
0.53,-0.46,0.70,-4.98,2.03,0.05
0.53,-0.45,0.71,-5.07,3.57,0.08
0.52,-0.45,0.70,-7.73,4.93,1.18
0.54,-0.43,0.69,-10.58,6.73,1.33
0.51,-0.44,0.67,-19.79,13.53,2.40
0.50,-0.48,0.70,-16.56,4.35,0.87
0.54,-0.46,0.69,-14.21,8.79,1.04
0.52,-0.46,0.68,-14.37,12.98,0.66
0.52,-0.45,0.69,-12.96,12.37,-1.33
0.51,-0.46,0.68,-13.85,17.15,-1.71
0.48,-0.48,0.71,-4.46,13.16,-3.44
0.46,-0.50,0.71,-1.11,12.89,-1.10
0.48,-0.49,0.74,-1.50,9.59,-1.15
0.50,-0.48,0.74,-0.08,6.53,-0.82
0.51,-0.47,0.74,-1.66,2.89,-0.66
0.52,-0.48,0.74,-1.79,-0.61,-1.39
0.51,-0.47,0.72,-1.79,-3.45,-1.85
0.52,-0.46,0.71,-2.75,-2.81,-1.94
0.51,-0.45,0.71,-3.94,-2.64,-1.28
0.49,-0.46,0.70,-4.61,-2.76,-1.25
0.49,-0.47,0.70,-3.97,-3.28,-1.36
0.49,-0.47,0.70,-4.44,-2.09,-1.11
0.50,-0.47,0.70,-3.10,-1.01,-1.77
0.50,-0.46,0.67,-2.20,0.09,-1.68
0.51,-0.46,0.68,-2.03,0.72,-1.77
0.51,-0.47,0.70,-1.34,1.45,-1.80
0.51,-0.47,0.69,-0.98,1.51,-1.53
0.51,-0.46,0.71,-2.34,0.52,-1.59
0.50,-0.46,0.71,-2.52,-1.71,-1.88
0.52,-0.46,0.71,-4.79,-1.40,-1.25
0.53,-0.46,0.71,-5.25,-2.31,-2.24
0.51,-0.47,0.71,-6.38,-3.94,-4.12
0.49,-0.50,0.72,-3.86,-5.02,-3.08
0.49,-0.49,0.73,-1.92,-4.26,-1.76
0.51,-0.46,0.68,-4.18,-4.00,-1.98
0.52,-0.43,0.68,-5.37,-1.97,-3.30
0.52,-0.45,0.68,-5.44,1.33,-3.18
