Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.15,-0.18,0.89,-12.37,-18.08,6.76
0.15,-0.17,0.90,-13.24,-18.37,6.99
0.16,-0.19,0.91,-13.71,-18.18,6.56
0.17,-0.20,0.91,-14.03,-18.47,5.69
0.17,-0.23,0.92,-12.79,-17.85,4.56
0.19,-0.26,0.93,-9.15,-13.86,3.50
0.16,-0.25,0.95,-3.73,-8.95,4.03
0.15,-0.26,0.96,-1.16,-5.54,4.44
0.13,-0.27,0.97,0.79,-2.89,6.06
0.11,-0.27,0.97,4.26,-0.92,8.95
0.09,-0.29,0.96,6.87,0.32,12.70
0.08,-0.30,0.93,8.84,0.61,17.10
0.07,-0.31,0.91,9.82,0.35,19.85
0.08,-0.29,0.90,9.71,0.64,20.00
0.08,-0.28,0.88,10.15,-0.55,20.32
0.09,-0.26,0.88,10.87,-1.71,18.58
0.09,-0.26,0.87,10.18,-2.40,17.25
0.09,-0.25,0.86,6.72,-1.79,16.92
0.12,-0.26,0.85,3.19,3.65,17.85
0.12,-0.27,0.88,3.04,11.65,19.16
0.10,-0.25,0.90,1.77,16.92,21.11
0.10,-0.23,0.90,0.31,18.56,23.66
0.11,-0.22,0.90,1.18,16.96,24.52
0.10,-0.21,0.92,1.44,11.86,20.46
0.11,-0.21,0.90,3.07,3.77,14.89
0.11,-0.23,0.88,3.42,-3.76,9.05
0.10,-0.24,0.85,3.94,-7.57,7.88
0.08,-0.25,0.85,4.47,-9.97,8.60
0.10,-0.26,0.84,-0.15,-6.26,11.48
0.11,-0.25,0.84,-9.85,4.60,14.60
0.14,-0.25,0.86,-20.67,16.27,16.70
0.13,-0.25,0.87,-29.36,24.15,16.75
0.12,-0.27,0.90,-32.15,24.90,13.89
0.11,-0.29,0.94,-27.62,19.86,9.74
0.10,-0.30,0.97,-20.41,11.54,5.94
0.09,-0.30,0.95,-12.49,-1.19,3.31
0.09,-0.30,0.91,-5.76,-14.50,1.10
0.10,-0.30,0.91,-0.09,-26.53,-2.66
0.12,-0.29,0.90,5.45,-29.98,-6.31
0.11,-0.26,0.88,4.95,-25.85,-4.55
0.11,-0.24,0.86,1.33,-16.15,-0.66
0.12,-0.24,0.84,-3.88,-5.68,3.40
0.11,-0.23,0.85,-9.83,1.42,6.34
0.12,-0.23,0.84,-16.18,4.00,8.69
0.14,-0.23,0.83,-20.61,3.97,8.87
0.15,-0.25,0.86,-20.98,-1.13,5.73
0.12,-0.26,0.85,-19.31,-5.48,1.62
0.10,-0.25,0.82,-18.44,-6.85,-0.11
0.08,-0.24,0.82,-17.48,-4.27,2.11
0.07,-0.24,0.80,-17.16,-0.50,5.91
0.08,-0.25,0.81,-16.70,4.00,9.71
0.08,-0.26,0.81,-18.23,7.15,14.29
0.09,-0.28,0.84,-19.65,6.46,16.60
0.11,-0.29,0.86,-20.03,3.11,15.08
0.13,-0.31,0.89,-20.14,-3.19,11.54
0.10,-0.32,0.90,-18.56,-12.41,5.79
0.10,-0.34,0.92,-13.68,-23.30,0.85
0.11,-0.35,0.93,-7.50,-29.21,-4.18
0.12,-0.35,0.95,-2.85,-29.16,-7.04
0.13,-0.35,0.96,1.51,-22.75,-8.14
0.13,-0.34,0.96,4.87,-13.88,-8.23
0.13,-0.34,0.95,4.52,-5.30,-6.20
0.11,-0.34,0.97,2.73,-0.92,-3.98
0.12,-0.34,0.97,2.69,0.99,-2.72
0.12,-0.32,0.96,3.89,0.41,-1.57
0.13,-0.31,0.94,4.52,-0.92,-1.68
0.12,-0.29,0.92,4.76,-3.08,-1.62
0.12,-0.29,0.91,5.98,-6.82,-2.44
0.14,-0.28,0.91,7.94,-9.31,-3.92
0.14,-0.27,0.90,8.79,-9.79,-4.38
0.14,-0.26,0.89,10.15,-7.53,-4.61
0.14,-0.25,0.89,9.65,-4.73,-3.18
0.13,-0.24,0.87,8.44,-3.37,-1.76
0.15,-0.24,0.87,6.00,-3.69,-0.84
0.15,-0.24,0.87,2.49,-4.84,-0.58
0.16,-0.24,0.87,-0.60,-6.34,-1.57
0.16,-0.24,0.86,-2.95,-7.50,-4.43
0.15,-0.25,0.88,-5.11,-10.08,-6.27
0.15,-0.25,0.90,-5.95,-13.80,-7.94
0.14,-0.26,0.91,-5.63,-16.73,-8.82
0.15,-0.27,0.92,-4.15,-18.67,-8.03
0.17,-0.28,0.94,-2.09,-17.47,-8.12
0.18,-0.28,0.93,-0.52,-14.03,-7.91
0.17,-0.28,0.93,1.08,-11.11,-6.32
0.18,-0.28,0.92,3.07,-9.98,-5.65
0.18,-0.28,0.91,4.41,-6.23,-5.18
0.17,-0.27,0.88,4.34,-1.74,-3.39
0.17,-0.26,0.89,3.63,1.57,-0.26
0.17,-0.27,0.90,3.71,3.22,1.56
0.17,-0.26,0.89,2.69,3.68,2.46
0.18,-0.26,0.89,2.35,3.33,3.33
0.18,-0.25,0.89,2.31,3.31,2.73
0.18,-0.24,0.88,2.15,2.55,2.17
0.19,-0.25,0.88,2.24,2.75,0.96
0.20,-0.24,0.88,1.77,3.48,-0.26
0.20,-0.24,0.87,1.30,5.36,-1.48
0.20,-0.24,0.87,0.90,7.69,-3.50
0.18,-0.24,0.88,1.28,9.19,-4.29
0.18,-0.24,0.88,1.63,11.10,-4.32
0.16,-0.24,0.87,1.11,11.71,-3.08
0.16,-0.24,0.87,0.37,12.18,-3.13
0.15,-0.24,0.86,-1.44,12.85,-4.26
0.15,-0.24,0.86,-2.92,11.54,-4.87
0.14,-0.24,0.87,-3.85,10.60,-6.66
0.15,-0.24,0.87,-4.64,11.44,-8.60
0.14,-0.24,0.86,-5.31,14.56,-9.36
0.12,-0.25,0.87,-6.67,16.84,-7.33
0.10,-0.25,0.88,-7.27,15.98,-3.60
0.10,-0.26,0.90,-8.18,13.07,-0.89
0.11,-0.26,0.91,-7.36,12.50,-0.96
0.11,-0.27,0.94,-5.40,11.13,-0.87
0.11,-0.26,0.94,-4.61,7.76,-2.23
0.11,-0.27,0.95,-3.65,5.05,-4.24
0.09,-0.27,0.93,-1.86,0.31,-4.87
0.10,-0.27,0.94,-0.47,-3.05,-4.78
0.10,-0.27,0.93,-0.05,-3.24,-4.52
0.10,-0.27,0.93,-0.03,-2.56,-4.11
0.11,-0.26,0.93,-0.49,-2.11,-4.03
0.10,-0.27,0.93,-0.55,-2.35,-3.25
0.11,-0.27,0.93,-0.58,-3.85,-2.17
0.11,-0.27,0.94,0.58,-3.42,-2.20
0.12,-0.27,0.94,3.59,-1.51,-3.30
0.11,-0.26,0.92,5.02,-0.38,-2.72
0.11,-0.26,0.91,5.25,0.23,-1.40
0.11,-0.25,0.90,4.81,-0.53,-0.75
0.11,-0.24,0.88,3.91,-0.69,-0.55
0.11,-0.25,0.89,2.96,-1.02,-1.94
0.12,-0.24,0.89,1.44,-0.56,-3.50
0.12,-0.24,0.88,0.64,0.09,-4.87
0.13,-0.24,0.88,-0.35,-0.15,-6.76
0.12,-0.24,0.89,-1.04,-0.44,-9.13
0.12,-0.24,0.87,-1.36,-1.50,-9.59
0.11,-0.24,0.88,0.46,-3.16,-9.63
0.13,-0.24,0.88,1.97,0.00,-8.24
0.11,-0.23,0.87,2.12,2.03,-6.75
0.09,-0.23,0.83,3.02,3.71,-5.33
0.07,-0.23,0.84,1.28,0.82,-2.84
0.08,-0.23,0.85,0.02,-2.08,-0.99
0.08,-0.24,0.85,-1.33,-3.04,-1.13
0.09,-0.24,0.88,-3.30,-3.92,-1.22
0.11,-0.24,0.88,-4.20,-2.92,-1.11
0.11,-0.24,0.90,-4.15,-2.90,-0.81
0.12,-0.25,0.91,-3.04,-2.61,-0.96
0.12,-0.25,0.91,-2.05,-1.50,-0.78
0.12,-0.25,0.93,-0.31,-1.27,-0.55
0.12,-0.25,0.93,1.77,-1.05,-0.29
0.12,-0.24,0.93,3.05,-0.66,-0.02
0.12,-0.23,0.92,3.10,-0.82,-0.08
0.13,-0.25,0.92,3.25,-1.50,-0.66
0.14,-0.23,0.91,2.82,-2.23,-0.98
0.14,-0.24,0.92,2.20,-2.02,-0.70
0.13,-0.24,0.91,1.30,-0.78,-0.60
0.13,-0.24,0.91,0.27,1.71,-0.03
0.13,-0.23,0.91,-0.40,4.20,0.27
0.13,-0.24,0.90,-0.63,5.33,0.60
0.13,-0.24,0.90,-0.87,4.99,0.55
0.13,-0.24,0.89,-1.50,3.22,-1.47
0.12,-0.24,0.88,-1.86,1.97,-2.52
0.11,-0.24,0.89,-2.40,0.73,-3.07
0.11,-0.23,0.89,-2.35,-0.72,-2.70
0.12,-0.24,0.88,-2.41,-1.39,-2.87
0.11,-0.24,0.89,-2.60,-0.63,-2.38
0.09,-0.23,0.88,-2.69,-0.75,-1.10
0.10,-0.24,0.89,-3.37,-1.53,0.14
0.11,-0.24,0.89,-3.45,-2.32,-0.11
0.11,-0.25,0.91,-3.21,-3.11,-0.75
0.12,-0.25,0.91,-3.11,-2.75,-0.72
0.13,-0.25,0.92,-2.50,-2.09,-0.85
0.11,-0.25,0.92,-0.82,-1.47,-0.85
0.11,-0.25,0.91,0.05,-1.98,-0.64
0.11,-0.25,0.91,0.70,-2.15,0.05
0.11,-0.24,0.91,1.27,-1.69,0.76
0.13,-0.24,0.90,1.19,-1.57,1.68
0.13,-0.24,0.91,0.64,-0.35,1.63
0.13,-0.24,0.91,1.68,0.99,1.25
0.12,-0.24,0.90,2.69,0.92,1.57
