Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.18,-0.13,0.92,-1.28,1.27,-1.45
0.18,-0.12,0.91,-1.54,2.41,-0.72
0.20,-0.13,0.91,-1.05,2.00,-0.67
0.20,-0.12,0.91,-0.60,2.00,-1.31
0.18,-0.12,0.92,-1.33,1.69,-1.92
0.18,-0.11,0.90,-1.95,1.82,-0.67
0.18,-0.11,0.91,-2.47,1.44,-0.56
0.18,-0.12,0.91,-1.86,-1.34,-0.89
0.19,-0.12,0.90,-1.50,-1.45,-0.96
0.18,-0.12,0.91,-2.20,-1.60,-0.44
0.18,-0.12,0.90,-2.67,-2.06,-0.08
0.20,-0.13,0.91,-3.10,-0.72,-0.66
0.20,-0.12,0.91,-3.27,-0.18,-1.01
0.21,-0.12,0.93,-3.02,-0.12,-0.50
0.19,-0.13,0.94,-2.79,2.38,0.08
0.19,-0.14,0.94,-2.02,2.82,1.45
0.20,-0.14,0.95,-1.10,0.92,0.89
0.21,-0.13,0.95,0.02,2.60,-0.12
0.20,-0.13,0.96,1.34,4.15,0.79
0.19,-0.12,0.93,2.26,5.07,0.81
0.19,-0.11,0.92,2.18,5.39,1.40
0.19,-0.11,0.91,2.38,3.83,1.91
0.19,-0.11,0.89,2.06,3.02,1.18
0.18,-0.10,0.88,0.67,2.69,1.82
0.19,-0.10,0.89,-1.24,1.39,1.83
0.20,-0.12,0.89,-3.01,1.18,1.40
0.20,-0.12,0.92,-3.71,1.68,1.62
0.20,-0.14,0.94,-3.54,2.27,1.01
0.20,-0.14,0.94,-2.93,3.76,0.29
0.18,-0.14,0.94,-1.47,3.47,1.21
0.18,-0.14,0.92,-0.76,4.82,2.21
0.19,-0.13,0.93,-0.49,5.31,1.48
0.19,-0.13,0.93,-0.14,4.63,1.66
0.19,-0.13,0.92,-0.31,6.64,1.37
0.20,-0.13,0.92,-1.24,7.97,1.07
0.19,-0.14,0.90,-1.77,5.30,1.02
0.20,-0.13,0.90,-1.59,6.02,0.46
0.21,-0.12,0.89,-1.34,8.82,1.18
0.19,-0.12,0.88,-2.23,10.72,1.42
0.19,-0.12,0.88,-3.62,11.19,1.27
0.19,-0.11,0.88,-5.27,9.62,1.10
0.20,-0.12,0.88,-5.92,7.77,-0.31
0.20,-0.12,0.89,-6.56,4.46,-2.08
0.19,-0.13,0.89,-6.47,3.47,-2.90
0.18,-0.13,0.89,-7.22,2.85,-3.08
0.18,-0.13,0.89,-7.97,2.24,-2.96
0.18,-0.14,0.91,-7.16,3.07,-4.05
0.18,-0.14,0.93,-5.77,3.53,-4.66
0.18,-0.12,0.92,-4.67,3.22,-3.77
0.17,-0.12,0.91,-3.79,3.63,-2.89
0.17,-0.11,0.92,-2.43,2.85,-2.55
0.17,-0.11,0.92,-3.02,3.48,-2.81
0.17,-0.11,0.90,-3.53,3.71,-1.37
0.17,-0.13,0.91,-4.09,1.57,-1.59
0.17,-0.13,0.93,-3.37,-0.85,-3.39
0.17,-0.13,0.93,-2.98,-3.16,-3.54
0.17,-0.14,0.94,-2.82,-2.67,-3.11
0.17,-0.14,0.93,-2.79,-0.99,-2.84
0.16,-0.14,0.93,-1.28,0.20,-3.18
0.14,-0.15,0.94,-1.24,1.44,-3.42
0.15,-0.14,0.94,-1.31,-0.05,-2.60
0.16,-0.14,0.93,-1.95,-0.69,-2.60
0.16,-0.16,0.93,-1.76,-1.85,-4.14
0.16,-0.15,0.92,-0.93,-1.97,-5.24
0.16,-0.14,0.93,-1.18,-2.06,-4.92
0.16,-0.13,0.92,-1.53,-4.00,-4.69
0.16,-0.14,0.92,-1.97,-4.09,-5.18
0.15,-0.13,0.92,-3.10,-4.81,-3.86
0.17,-0.12,0.91,-3.76,-6.76,-2.69
0.18,-0.13,0.91,-4.23,-6.40,-2.27
0.19,-0.14,0.92,-4.20,-5.56,-2.64
0.20,-0.14,0.93,-3.82,-5.76,-2.17
0.21,-0.13,0.93,-0.90,-3.88,-3.37
0.21,-0.14,0.95,1.54,1.15,-5.08
0.20,-0.13,0.94,3.07,1.69,-7.21
0.19,-0.13,0.91,3.05,1.80,-7.97
0.19,-0.12,0.90,2.23,2.76,-8.46
0.20,-0.11,0.88,0.12,0.02,-9.98
0.19,-0.10,0.88,-2.23,-3.62,-10.63
0.19,-0.10,0.89,-4.76,-3.45,-12.55
0.19,-0.10,0.89,-6.47,-2.73,-13.27
0.17,-0.09,0.90,-7.65,-5.21,-13.10
0.16,-0.10,0.92,-7.15,-7.10,-12.56
0.15,-0.10,0.94,-5.05,-6.11,-11.16
0.15,-0.11,0.95,-2.60,-3.60,-10.72
0.16,-0.11,0.94,-1.05,-0.32,-10.60
0.14,-0.11,0.94,-0.14,1.42,-11.53
0.14,-0.11,0.94,0.05,0.21,-11.63
0.14,-0.10,0.94,-0.31,-1.37,-10.84
0.15,-0.10,0.94,-0.38,-1.37,-11.31
0.15,-0.11,0.94,0.49,-2.05,-13.50
0.14,-0.10,0.94,0.29,-4.02,-12.90
0.13,-0.09,0.93,0.32,-3.54,-12.09
0.14,-0.10,0.93,0.70,-3.74,-11.08
0.14,-0.09,0.94,0.93,-3.39,-9.86
0.13,-0.09,0.93,0.85,-1.80,-8.08
0.13,-0.09,0.93,0.50,-1.11,-6.44
0.14,-0.10,0.94,2.08,-3.19,-6.49
0.14,-0.10,0.94,3.98,-4.31,-6.35
0.14,-0.09,0.94,4.82,-6.23,-5.19
0.14,-0.10,0.93,5.63,-7.59,-5.04
0.14,-0.11,0.93,5.34,-6.29,-4.84
