Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.19,-0.24,0.88,-1.73,6.69,2.37
0.20,-0.24,0.90,-0.58,6.81,1.88
0.18,-0.25,0.91,-0.26,7.16,0.31
0.18,-0.26,0.90,-1.25,5.33,-0.93
0.17,-0.25,0.92,-1.40,5.76,-0.47
0.17,-0.26,0.92,-0.02,9.10,0.76
0.17,-0.26,0.93,0.95,11.18,1.65
0.16,-0.26,0.93,2.06,12.93,2.84
0.17,-0.26,0.93,3.56,15.15,4.55
0.17,-0.26,0.93,4.99,16.53,5.73
0.16,-0.27,0.93,7.69,16.00,6.43
0.18,-0.27,0.93,9.60,15.79,7.42
0.17,-0.27,0.91,10.15,15.92,7.62
0.11,-0.19,0.78,-18.24,-10.38,-10.82
0.23,-0.28,0.94,6.79,8.87,3.94
0.17,-0.24,0.88,-1.45,1.15,-1.31
0.16,-0.24,0.88,5.08,-3.86,0.95
0.20,-0.27,0.89,4.56,7.53,1.44
0.17,-0.24,0.87,4.52,6.40,2.12
0.18,-0.25,0.89,5.77,9.37,2.73
0.17,-0.24,0.89,7.94,12.82,3.10
0.16,-0.23,0.89,6.17,16.00,4.31
0.14,-0.22,0.88,4.79,16.47,6.56
0.15,-0.23,0.88,3.40,15.02,7.80
0.15,-0.23,0.90,1.74,15.08,8.76
0.15,-0.23,0.90,1.28,12.87,9.53
0.16,-0.23,0.90,0.23,11.21,8.44
0.16,-0.24,0.90,-0.96,6.76,5.95
0.17,-0.24,0.91,-0.79,2.85,3.15
0.16,-0.24,0.90,0.79,0.02,1.30
0.15,-0.23,0.91,1.88,-0.47,0.72
0.15,-0.23,0.91,1.45,0.67,0.17
0.15,-0.20,0.89,-2.55,-2.85,-5.31
0.15,-0.21,0.92,3.51,-4.99,1.69
0.15,-0.24,0.92,0.11,-0.14,-2.78
0.12,-0.21,0.92,-0.17,-3.63,-4.52
0.17,-0.24,0.95,4.52,6.27,0.79
0.17,-0.24,0.94,8.23,12.78,0.84
0.14,-0.22,0.95,9.63,16.37,-3.57
0.14,-0.22,0.95,9.66,17.86,-2.15
0.10,-0.22,0.95,8.26,16.75,0.96
0.13,-0.23,0.95,12.69,16.63,9.45
0.13,-0.21,0.94,17.59,22.34,13.77
0.11,-0.20,0.92,18.70,24.78,14.20
0.13,-0.19,0.91,17.44,27.92,15.08
0.11,-0.19,0.89,12.84,23.08,12.27
0.11,-0.19,0.90,12.03,14.14,8.03
0.11,-0.20,0.92,8.61,7.25,1.30
0.14,-0.19,0.95,13.02,7.31,-0.02
0.14,-0.20,0.96,13.71,4.73,-5.59
0.15,-0.21,0.94,20.50,10.23,-7.15
0.15,-0.17,0.93,29.40,17.83,-4.82
0.12,-0.15,0.90,28.11,11.10,-8.93
0.10,-0.15,0.88,26.15,2.38,-10.81
0.10,-0.14,0.86,21.85,-8.29,-13.65
0.10,-0.15,0.86,17.11,-15.63,-17.51
0.12,-0.14,0.88,14.46,-16.14,-16.98
0.12,-0.14,0.91,16.95,-9.76,-14.15
0.11,-0.14,0.93,20.52,-5.36,-10.95
0.09,-0.13,0.92,23.18,-6.23,-10.73
0.09,-0.09,0.91,16.35,-13.88,-12.43
0.09,-0.10,0.88,9.50,-24.50,-14.85
0.12,-0.10,0.84,6.82,-28.41,-13.88
0.13,-0.11,0.86,7.51,-23.95,-7.16
0.13,-0.10,0.88,0.50,-25.68,-5.83
0.15,-0.11,0.91,0.47,-22.85,-6.60
0.16,-0.12,0.92,0.98,-16.15,-7.45
0.14,-0.11,0.91,0.35,-13.27,-8.95
0.13,-0.11,0.90,-0.34,-12.90,-8.89
0.15,-0.11,0.91,-1.44,-11.18,-7.91
0.16,-0.11,0.91,-2.35,-9.95,-7.16
0.15,-0.10,0.91,-1.25,-9.30,-6.02
0.15,-0.11,0.92,-1.21,-7.94,-4.53
0.14,-0.12,0.92,-1.22,-7.51,-2.17
0.16,-0.13,0.93,-1.91,-9.10,-2.84
0.18,-0.15,0.93,-1.56,-9.40,-6.92
0.19,-0.14,0.92,-0.17,-7.25,-9.88
0.18,-0.15,0.90,0.85,-3.53,-9.68
0.17,-0.14,0.90,0.93,-3.15,-9.37
0.18,-0.13,0.89,1.25,-2.20,-8.60
0.18,-0.13,0.91,1.62,-0.18,-7.54
0.18,-0.14,0.91,2.56,1.65,-7.24
0.18,-0.13,0.89,4.24,3.22,-6.64
0.17,-0.13,0.89,3.65,3.74,-6.99
0.18,-0.12,0.88,2.21,3.63,-8.11
0.17,-0.12,0.88,1.27,4.24,-9.22
0.17,-0.12,0.87,0.79,4.53,-8.92
0.16,-0.11,0.87,-0.55,4.82,-7.22
0.16,-0.12,0.88,-1.82,4.87,-6.60
0.16,-0.11,0.88,-3.10,4.98,-6.34
0.16,-0.12,0.88,-4.15,3.74,-6.41
0.15,-0.11,0.87,-5.63,3.56,-6.40
0.15,-0.12,0.88,-6.23,3.76,-7.13
0.13,-0.13,0.90,-4.56,2.69,-7.36
0.12,-0.12,0.88,-5.18,0.17,-6.08
0.13,-0.11,0.90,-6.34,-1.25,-6.34
0.12,-0.12,0.89,-6.12,-1.10,-5.69
0.14,-0.13,0.89,-2.03,2.08,-4.89
0.13,-0.12,0.92,-2.26,2.95,-4.63
0.12,-0.12,0.92,-4.46,2.55,-2.70
0.14,-0.13,0.91,-3.27,1.73,-0.93
0.14,-0.12,0.91,-4.93,2.75,-0.90
0.14,-0.12,0.91,-5.45,2.43,0.29
0.15,-0.12,0.92,-5.85,1.01,-0.93
0.16,-0.11,0.92,-7.74,3.65,-2.56
0.15,-0.12,0.93,-8.40,3.68,-3.19
0.14,-0.12,0.92,-8.08,3.13,-3.08
0.13,-0.12,0.92,-8.17,2.09,-2.73
0.13,-0.12,0.93,-8.08,0.24,-1.51
0.14,-0.12,0.92,-9.59,0.34,-1.24
0.13,-0.12,0.92,-11.28,0.11,-0.79
0.14,-0.12,0.93,-13.37,0.15,-0.11
0.15,-0.13,0.90,-13.62,-0.24,1.10
0.13,-0.16,0.94,-9.98,-1.65,0.17
0.15,-0.14,0.95,-7.50,0.32,-1.01
0.15,-0.14,0.96,-6.66,1.94,-0.55
0.15,-0.15,0.96,-6.98,3.05,0.37
0.17,-0.15,0.95,-6.21,5.45,2.58
0.15,-0.16,0.95,-2.81,6.09,2.38
0.16,-0.15,0.94,-1.98,3.76,-2.93
0.16,-0.15,0.92,-3.07,4.50,-4.24
0.15,-0.14,0.92,-2.78,3.66,-4.63
0.14,-0.15,0.91,-3.85,2.26,-4.27
0.13,-0.14,0.90,-4.81,-0.26,-3.36
0.14,-0.14,0.89,-6.61,-1.31,-2.37
0.13,-0.14,0.90,-7.63,-1.97,-0.46
0.13,-0.13,0.90,-7.82,-2.76,0.81
0.13,-0.14,0.90,-8.06,-3.15,2.05
0.12,-0.13,0.90,-8.43,-2.12,2.99
0.12,-0.14,0.89,-8.40,-3.18,3.51
0.12,-0.14,0.89,-9.22,-3.01,3.89
0.11,-0.14,0.90,-10.20,-3.47,5.05
0.13,-0.15,0.89,-10.61,-4.00,5.60
0.14,-0.15,0.88,-11.66,-1.88,8.23
0.14,-0.14,0.90,-12.46,-3.27,6.95
0.14,-0.15,0.88,-13.88,-5.07,4.95
0.14,-0.15,0.88,-14.03,-6.84,3.91
0.14,-0.15,0.90,-14.58,-7.42,3.42
0.14,-0.16,0.89,-14.93,-7.44,2.63
0.15,-0.17,0.91,-15.74,-5.56,1.54
0.15,-0.17,0.90,-14.98,-2.49,0.53
0.14,-0.17,0.92,-14.08,-1.73,0.32
0.14,-0.17,0.93,-13.34,-2.70,0.84
0.13,-0.18,0.92,-11.88,-3.60,1.69
0.15,-0.18,0.93,-11.16,-3.27,2.35
0.16,-0.18,0.93,-10.47,-3.07,2.26
0.16,-0.18,0.93,-9.80,-1.71,1.80
0.16,-0.18,0.93,-8.32,0.70,1.59
0.16,-0.18,0.93,-7.48,0.95,1.53
0.15,-0.18,0.93,-7.15,0.46,2.18
0.15,-0.17,0.93,-6.82,-0.79,2.09
0.16,-0.17,0.91,-6.43,-0.72,0.85
0.16,-0.18,0.93,-6.60,0.58,-0.38
0.15,-0.17,0.92,-5.37,1.05,0.11
0.14,-0.18,0.92,-5.37,1.15,0.29
0.14,-0.18,0.91,-4.96,0.81,0.60
0.15,-0.18,0.91,-5.39,0.81,0.44
0.15,-0.18,0.92,-5.50,-0.18,-0.05
0.14,-0.18,0.92,-5.71,0.34,-0.20
0.15,-0.18,0.92,-6.12,0.72,0.35
0.14,-0.18,0.92,-6.05,0.76,1.05
0.14,-0.18,0.91,-5.83,0.76,1.44
0.14,-0.18,0.92,-5.92,-0.85,1.16
0.14,-0.18,0.90,-6.47,-2.46,1.10
0.15,-0.19,0.91,-6.56,-1.80,0.40
0.15,-0.19,0.91,-6.05,-0.66,-0.09
0.14,-0.18,0.92,-6.17,0.03,-0.03
0.15,-0.19,0.91,-5.77,-0.41,0.26
0.14,-0.19,0.91,-5.54,-1.16,0.46
0.15,-0.18,0.92,-4.64,-2.38,0.53
0.15,-0.19,0.92,-5.08,-2.31,0.90
0.15,-0.19,0.90,-5.44,-2.24,1.30
0.15,-0.19,0.91,-5.24,-1.66,1.97
0.15,-0.19,0.91,-4.67,-0.32,2.66
0.15,-0.19,0.90,-4.98,-0.61,2.40
0.16,-0.19,0.91,-5.86,-0.63,1.56
0.16,-0.19,0.91,-6.58,0.35,0.26
0.15,-0.19,0.91,-6.06,-2.15,-1.60
0.15,-0.19,0.90,-4.93,-5.86,-2.15
0.15,-0.20,0.91,-4.53,-3.97,-1.47
0.14,-0.18,0.89,-5.11,-2.52,-0.73
0.14,-0.19,0.89,-6.21,-2.52,0.03
0.14,-0.19,0.90,-7.24,-3.16,0.29
0.14,-0.20,0.91,-7.73,-3.71,1.28
0.13,-0.20,0.90,-7.37,-2.93,1.25
0.14,-0.20,0.90,-7.36,-2.53,1.69
0.14,-0.20,0.90,-8.11,-1.92,2.03
0.15,-0.20,0.89,-8.58,-2.03,1.88
0.14,-0.20,0.89,-8.12,-2.85,1.36
0.14,-0.20,0.90,-7.91,-3.74,1.08
0.14,-0.21,0.90,-7.91,-4.15,0.87
0.14,-0.21,0.90,-8.08,-3.21,0.67
0.14,-0.21,0.89,-8.35,-3.53,1.50
0.14,-0.21,0.89,-9.89,-2.02,2.38
0.14,-0.21,0.90,-9.47,-0.40,3.15
